date	Alabama	Clemson	Georgia	Wisconsin	Ohio State	Washington	Oklahoma	Miami FL	Auburn	Penn State	Michigan State	Notre Dame	Stanford	Michigan	USC	TCU	West Virginia	Mississippi State	Florida State	Virginia Tech	UCF	Boise State	Texas	Oregon	LSU	South Carolina	Florida	Utah	Oklahoma State	FAU	Arizona	NC State	Texas AM	Boston College	Northwestern	KState	Iowa State	Houston	Memphis	Troy	Iowa	Kentucky	Arkansas State	Fresno State	Maryland	Ole Miss	Washington State	Hawaii	BYU	Arizona State	Colorado	Duke	South Florida	California	Missouri	SanDiego State	North Texas	Syracuse	Cincinnati	Texas Tech	Buffalo	Appalachian State	Utah State	Virginia	Purdue	UAB	Georgia Southern	Army	Pittsburg
20180830	1505	1476	1350	1271	1256	1215	1173	1027	1013	1012	877	804	778	773	543	533	511	450	384	351	312	292	216	148	18	96	68	60	51	38	28	22	21	18	13	10	8	6	3	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20180903	1511	1467	1350	1258	1262	870	1251	241	1236	768	684	1080	865	0	628	632	762	538	8	777	407	0	0	217	801	125	89	71	62	0	0	9	29	31	28	3	4	6	6	0	3	0	1	1	12	11	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20180908	1517	1430	1407	1227	1288	884	1263	299	1224	836	104	1022	992	385	250	678	793	654	1	794	494	500	0	301	830	2	0	92	119	0	0	9	90	45	0	0	0	32	0	0	23	19	0	0	30	5	4	5	0	139	25	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20180916	1521	1405	1416	486	1357	947	1283	362	958	947	86	1034	1055	448	0	502	841	790	0	816	556	62	12	399	1241	4	0	6	587	0	0	10	193	130	0	0	0	0	0	0	64	38	0	0	0	0	2	0	75	9	49	61	14	40	8	5	4	2	0	0	0	0	0	0	0	0	0	0	0
20180923	1523	1409	1422	662	1363	946	1201	571	987	1001	256	1067	1143	698	0	24	923	241	0	55	727	58	308	297	1238	31	29	9	44	0	0	28	41	0	0	0	0	0	0	0	31	541	0	0	6	7	0	0	270	4	83	244	50	118	7	5	24	25	10	106	6	0	0	0	0	0	0	0	0
20181002	1497	1278	1395	642	1395	978	1193	600	1002	920	281	1216	700	687	0	13	998	0	0	89	759	86	403	462	1233	0	210	0	88	0	0	118	31	3	0	0	0	0	0	0	34	707	0	0	0	0	14	1	3	2	225	1	83	10	3	1	0	74	35	0	0	2	0	0	0	0	0	0	0
20181007	1522	1331	1426	710	1420	1098	879	591	335	1097	0	1315	59	875	0	20	1174	136	0	0	917	0	956	505	794	2	719	5	0	0	0	342	257	0	0	0	0	0	0	0	87	485	0	0	0	0	46	1	0	0	419	0	144	0	0	24	0	0	114	0	0	11	9	0	0	0	0	0	0
20181014	1524	1392	1085	226	1457	640	999	38	0	523	199	1355	71	1146	53	0	700	231	0	0	979	0	1144	917	1244	0	931	33	0	0	0	592	551	0	0	0	0	3	0	0	266	678	0	3	2	0	136	0	0	0	49	0	242	0	0	53	0	0	243	8	0	51	38	2	0	0	0	0	0
20181021	1525	1454	1136	357	985	677	1065	34	5	528	8	1400	144	1250	0	0	747	2	0	0	996	0	1186	450	1327	0	998	180	0	0	0	186	622	2	0	0	0	19	0	0	489	754	0	35	0	0	692	0	0	0	0	0	291	0	0	48	0	0	7	54	0	79	50	25	17	1	0	0	0
20181028	1500	1433	1202	12	1022	120	1132	0	7	733	51	1374	26	1240	0	0	891	204	0	0	1014	0	719	13	1317	0	734	593	24	0	0	5	132	169	86	0	42	403	0	0	323	905	0	261	0	0	938	0	0	0	0	0	29	2	0	6	0	192	45	0	1	0	340	175	0	17	62	6	0
20181104	1500	1435	1263	37	1025	342	1181	0	93	278	215	1381	0	1304	0	0	1065	486	0	0	1001	15	559	9	1020	0	400	110	0	0	0	264	3	490	28	0	230	3	0	0	17	780	0	506	0	0	1010	0	0	0	0	4	0	0	0	5	0	624	141	2	11	0	586	0	14	31	0	32	0
20181111	1525	1459	1288	0	1050	501	1188	0	3	542	31	1406	3	1327	0	0	1111	133	0	0	983	147	726	0	1019	0	575	307	0	0	0	30	16	254	136	0	497	0	0	1	8	337	0	61	0	0	1052	0	0	6	0	20	0	0	0	0	0	787	344	0	29	0	689	0	0	78	0	128	28
20181118	1525	1455	1288	2	1019	631	1182	0	11	659	0	1412	8	1327	0	0	822	260	0	0	1064	287	856	0	1064	0	707	491	0	0	0	45	29	0	307	0	123	3	0	1	8	508	0	100	0	0	1149	0	0	0	0	0	0	0	34	0	0	427	43	0	1	0	667	0	0	5	0	176	129
20181125	1525	1458	1336	0	1229	897	1266	0	0	751	0	1409	10	1058	0	0	672	324	0	0	1146	409	959	1	818	0	876	536	0	0	0	39	283	0	322	0	116	0	0	0	4	602	0	102	0	0	818	0	0	0	0	0	0	0	88	0	0	475	33	0	1	1	92	0	0	0	0	169	0
20181202	1525	1460	1247	0	1254	992	1327	0	0	773	0	1405	28	1076	0	0	694	375	0	0	1158	144	763	1	847	0	894	362	0	0	0	54	359	0	109	0	110	0	0	1	4	639	0	373	0	0	845	0	0	0	0	0	0	0	133	0	0	516	39	0	0	19	86	0	0	4	0	209	0
20190108	1462	1525	1103	2	1364	806	1356	0	15	492	0	1286	52	745	0	0	296	45	0	0	898	184	1076	11	1119	0	1103	43	3	0	0	2	552	0	284	0	26	0	0	6	120	820	0	466	0	0	959	0	0	0	0	0	0	0	10	0	0	683	171	0	0	96	188	0	0	32	6	418	0